id,sensorId,timestamp,readingType,value,unit,createdAt
TEL-35,SEN-016,2024-01-01 01:00:00,PRESSURE,3.49,bar,2024-01-01 01:00:00
TEL-39,SEN-020,2024-01-01 01:00:00,PRESSURE,3.26,bar,2024-01-01 01:00:00
TEL-37,SEN-018,2024-01-01 01:00:00,VIBRATION,2.021,mm/s,2024-01-01 01:00:00
TEL-38,SEN-019,2024-01-01 01:00:00,VIBRATION,1.387,mm/s,2024-01-01 01:00:00
TEL-31,SEN-012,2024-01-01 01:00:00,TEMPERATURE,43.85,C,2024-01-01 01:00:00
TEL-36,SEN-017,2024-01-01 01:00:00,VIBRATION,1.368,mm/s,2024-01-01 01:00:00
TEL-30,SEN-011,2024-01-01 01:00:00,PRESSURE,3.13,bar,2024-01-01 01:00:00
TEL-24,SEN-005,2024-01-01 01:00:00,TEMPERATURE,22.49,C,2024-01-01 01:00:00
TEL-28,SEN-009,2024-01-01 01:00:00,PRESSURE,1.85,bar,2024-01-01 01:00:00
TEL-27,SEN-008,2024-01-01 01:00:00,STRAIN,0.0024,ratio,2024-01-01 01:00:00
TEL-26,SEN-007,2024-01-01 01:00:00,STRAIN,0.0045,ratio,2024-01-01 01:00:00
TEL-25,SEN-006,2024-01-01 01:00:00,TEMPERATURE,20.38,C,2024-01-01 01:00:00
TEL-23,SEN-004,2024-01-01 01:00:00,PRESSURE,3.17,bar,2024-01-01 01:00:00
TEL-22,SEN-003,2024-01-01 01:00:00,VIBRATION,0.752,mm/s,2024-01-01 01:00:00
TEL-21,SEN-002,2024-01-01 01:00:00,STRAIN,0.005,ratio,2024-01-01 01:00:00
TEL-20,SEN-001,2024-01-01 01:00:00,TEMPERATURE,29.65,C,2024-01-01 01:00:00
TEL-29,SEN-010,2024-01-01 01:00:00,TEMPERATURE,36.25,C,2024-01-01 01:00:00
TEL-52,SEN-013,2024-01-01 02:00:00,STRAIN,0.0024,ratio,2024-01-01 02:00:00
TEL-53,SEN-014,2024-01-01 02:00:00,PRESSURE,3.47,bar,2024-01-01 02:00:00
TEL-54,SEN-015,2024-01-01 02:00:00,PRESSURE,2.6,bar,2024-01-01 02:00:00
TEL-55,SEN-016,2024-01-01 02:00:00,TEMPERATURE,37.26,C,2024-01-01 02:00:00
TEL-59,SEN-020,2024-01-01 02:00:00,TEMPERATURE,34.3,C,2024-01-01 02:00:00
TEL-57,SEN-018,2024-01-01 02:00:00,STRAIN,0.008,ratio,2024-01-01 02:00:00
TEL-58,SEN-019,2024-01-01 02:00:00,TEMPERATURE,22.67,C,2024-01-01 02:00:00
TEL-51,SEN-012,2024-01-01 02:00:00,TEMPERATURE,42.53,C,2024-01-01 02:00:00
TEL-56,SEN-017,2024-01-01 02:00:00,TEMPERATURE,41.13,C,2024-01-01 02:00:00
TEL-50,SEN-011,2024-01-01 02:00:00,VIBRATION,2.298,mm/s,2024-01-01 02:00:00
TEL-44,SEN-005,2024-01-01 02:00:00,STRAIN,0.003,ratio,2024-01-01 02:00:00
TEL-48,SEN-009,2024-01-01 02:00:00,STRAIN,0.0034,ratio,2024-01-01 02:00:00
TEL-41,SEN-002,2024-01-01 02:00:00,VIBRATION,1.087,mm/s,2024-01-01 02:00:00
TEL-42,SEN-003,2024-01-01 02:00:00,PRESSURE,2.08,bar,2024-01-01 02:00:00
TEL-43,SEN-004,2024-01-01 02:00:00,STRAIN,0.0052,ratio,2024-01-01 02:00:00
TEL-40,SEN-001,2024-01-01 02:00:00,VIBRATION,1.149,mm/s,2024-01-01 02:00:00
TEL-45,SEN-006,2024-01-01 02:00:00,VIBRATION,1.719,mm/s,2024-01-01 02:00:00
TEL-46,SEN-007,2024-01-01 02:00:00,TEMPERATURE,35.49,C,2024-01-01 02:00:00
TEL-47,SEN-008,2024-01-01 02:00:00,STRAIN,0.005,ratio,2024-01-01 02:00:00
TEL-49,SEN-010,2024-01-01 02:00:00,PRESSURE,2.15,bar,2024-01-01 02:00:00
TEL-71,SEN-012,2024-01-01 03:00:00,TEMPERATURE,20.83,C,2024-01-01 03:00:00
TEL-78,SEN-019,2024-01-01 03:00:00,PRESSURE,3.29,bar,2024-01-01 03:00:00
TEL-77,SEN-018,2024-01-01 03:00:00,PRESSURE,3.08,bar,2024-01-01 03:00:00
TEL-76,SEN-017,2024-01-01 03:00:00,PRESSURE,2.33,bar,2024-01-01 03:00:00
TEL-75,SEN-016,2024-01-01 03:00:00,STRAIN,0.0032,ratio,2024-01-01 03:00:00
TEL-74,SEN-015,2024-01-01 03:00:00,PRESSURE,2.87,bar,2024-01-01 03:00:00
TEL-73,SEN-014,2024-01-01 03:00:00,VIBRATION,2.319,mm/s,2024-01-01 03:00:00
TEL-72,SEN-013,2024-01-01 03:00:00,PRESSURE,2.83,bar,2024-01-01 03:00:00
TEL-79,SEN-020,2024-01-01 03:00:00,TEMPERATURE,44.18,C,2024-01-01 03:00:00
TEL-70,SEN-011,2024-01-01 03:00:00,VIBRATION,1.118,mm/s,2024-01-01 03:00:00
TEL-68,SEN-009,2024-01-01 03:00:00,STRAIN,0.0057,ratio,2024-01-01 03:00:00
TEL-67,SEN-008,2024-01-01 03:00:00,PRESSURE,1.55,bar,2024-01-01 03:00:00
TEL-66,SEN-007,2024-01-01 03:00:00,STRAIN,0.0056,ratio,2024-01-01 03:00:00
TEL-65,SEN-006,2024-01-01 03:00:00,PRESSURE,2.94,bar,2024-01-01 03:00:00
TEL-64,SEN-005,2024-01-01 03:00:00,TEMPERATURE,40.82,C,2024-01-01 03:00:00
TEL-63,SEN-004,2024-01-01 03:00:00,VIBRATION,2.321,mm/s,2024-01-01 03:00:00
TEL-62,SEN-003,2024-01-01 03:00:00,TEMPERATURE,26.86,C,2024-01-01 03:00:00
TEL-61,SEN-002,2024-01-01 03:00:00,PRESSURE,1.05,bar,2024-01-01 03:00:00
TEL-60,SEN-001,2024-01-01 03:00:00,PRESSURE,3.48,bar,2024-01-01 03:00:00
TEL-69,SEN-010,2024-01-01 03:00:00,STRAIN,0.0058,ratio,2024-01-01 03:00:00
TEL-92,SEN-013,2024-01-01 04:00:00,PRESSURE,3.29,bar,2024-01-01 04:00:00
TEL-93,SEN-014,2024-01-01 04:00:00,STRAIN,0.0059,ratio,2024-01-01 04:00:00
TEL-94,SEN-015,2024-01-01 04:00:00,TEMPERATURE,42.73,C,2024-01-01 04:00:00
TEL-95,SEN-016,2024-01-01 04:00:00,PRESSURE,2.62,bar,2024-01-01 04:00:00
TEL-91,SEN-012,2024-01-01 04:00:00,STRAIN,0.0048,ratio,2024-01-01 04:00:00
TEL-97,SEN-018,2024-01-01 04:00:00,VIBRATION,1.109,mm/s,2024-01-01 04:00:00
TEL-98,SEN-019,2024-01-01 04:00:00,TEMPERATURE,22.9,C,2024-01-01 04:00:00
TEL-99,SEN-020,2024-01-01 04:00:00,STRAIN,0.0073,ratio,2024-01-01 04:00:00
TEL-96,SEN-017,2024-01-01 04:00:00,VIBRATION,0.78,mm/s,2024-01-01 04:00:00
TEL-90,SEN-011,2024-01-01 04:00:00,PRESSURE,1.27,bar,2024-01-01 04:00:00
TEL-84,SEN-005,2024-01-01 04:00:00,STRAIN,0.0072,ratio,2024-01-01 04:00:00
TEL-88,SEN-009,2024-01-01 04:00:00,VIBRATION,1.41,mm/s,2024-01-01 04:00:00
TEL-80,SEN-001,2024-01-01 04:00:00,PRESSURE,2.87,bar,2024-01-01 04:00:00
TEL-81,SEN-002,2024-01-01 04:00:00,PRESSURE,3.01,bar,2024-01-01 04:00:00
TEL-82,SEN-003,2024-01-01 04:00:00,TEMPERATURE,44.07,C,2024-01-01 04:00:00
TEL-83,SEN-004,2024-01-01 04:00:00,STRAIN,0.0065,ratio,2024-01-01 04:00:00
TEL-89,SEN-010,2024-01-01 04:00:00,PRESSURE,2.46,bar,2024-01-01 04:00:00
TEL-85,SEN-006,2024-01-01 04:00:00,TEMPERATURE,44.18,C,2024-01-01 04:00:00
TEL-86,SEN-007,2024-01-01 04:00:00,PRESSURE,1.23,bar,2024-01-01 04:00:00
TEL-87,SEN-008,2024-01-01 04:00:00,TEMPERATURE,20.35,C,2024-01-01 04:00:00
TEL-119,SEN-020,2024-01-01 05:00:00,STRAIN,0.0024,ratio,2024-01-01 05:00:00
TEL-118,SEN-019,2024-01-01 05:00:00,STRAIN,0.0067,ratio,2024-01-01 05:00:00
TEL-117,SEN-018,2024-01-01 05:00:00,PRESSURE,1.61,bar,2024-01-01 05:00:00
TEL-116,SEN-017,2024-01-01 05:00:00,VIBRATION,0.601,mm/s,2024-01-01 05:00:00
TEL-115,SEN-016,2024-01-01 05:00:00,STRAIN,0.0059,ratio,2024-01-01 05:00:00
TEL-114,SEN-015,2024-01-01 05:00:00,TEMPERATURE,22.29,C,2024-01-01 05:00:00
TEL-113,SEN-014,2024-01-01 05:00:00,VIBRATION,2.398,mm/s,2024-01-01 05:00:00
TEL-111,SEN-012,2024-01-01 05:00:00,PRESSURE,1.15,bar,2024-01-01 05:00:00
TEL-110,SEN-011,2024-01-01 05:00:00,PRESSURE,2.36,bar,2024-01-01 05:00:00
TEL-112,SEN-013,2024-01-01 05:00:00,PRESSURE,1.47,bar,2024-01-01 05:00:00
TEL-108,SEN-009,2024-01-01 05:00:00,TEMPERATURE,43.76,C,2024-01-01 05:00:00
TEL-101,SEN-002,2024-01-01 05:00:00,PRESSURE,2.68,bar,2024-01-01 05:00:00
TEL-102,SEN-003,2024-01-01 05:00:00,TEMPERATURE,34.68,C,2024-01-01 05:00:00
TEL-103,SEN-004,2024-01-01 05:00:00,STRAIN,0.0073,ratio,2024-01-01 05:00:00
TEL-104,SEN-005,2024-01-01 05:00:00,VIBRATION,2.167,mm/s,2024-01-01 05:00:00
TEL-100,SEN-001,2024-01-01 05:00:00,STRAIN,0.0043,ratio,2024-01-01 05:00:00
TEL-106,SEN-007,2024-01-01 05:00:00,PRESSURE,1.08,bar,2024-01-01 05:00:00
TEL-107,SEN-008,2024-01-01 05:00:00,PRESSURE,1.54,bar,2024-01-01 05:00:00
TEL-105,SEN-006,2024-01-01 05:00:00,TEMPERATURE,43.48,C,2024-01-01 05:00:00
TEL-109,SEN-010,2024-01-01 05:00:00,PRESSURE,1.25,bar,2024-01-01 05:00:00
TEL-139,SEN-020,2024-01-01 06:00:00,VIBRATION,0.622,mm/s,2024-01-01 06:00:00
TEL-131,SEN-012,2024-01-01 06:00:00,VIBRATION,0.754,mm/s,2024-01-01 06:00:00
TEL-138,SEN-019,2024-01-01 06:00:00,PRESSURE,2.15,bar,2024-01-01 06:00:00
TEL-137,SEN-018,2024-01-01 06:00:00,VIBRATION,1.954,mm/s,2024-01-01 06:00:00
TEL-136,SEN-017,2024-01-01 06:00:00,STRAIN,0.0077,ratio,2024-01-01 06:00:00
TEL-135,SEN-016,2024-01-01 06:00:00,VIBRATION,1.404,mm/s,2024-01-01 06:00:00
TEL-134,SEN-015,2024-01-01 06:00:00,PRESSURE,2.28,bar,2024-01-01 06:00:00
TEL-133,SEN-014,2024-01-01 06:00:00,VIBRATION,1.452,mm/s,2024-01-01 06:00:00
TEL-132,SEN-013,2024-01-01 06:00:00,TEMPERATURE,33.15,C,2024-01-01 06:00:00
TEL-130,SEN-011,2024-01-01 06:00:00,VIBRATION,0.848,mm/s,2024-01-01 06:00:00
TEL-128,SEN-009,2024-01-01 06:00:00,PRESSURE,2.97,bar,2024-01-01 06:00:00
TEL-120,SEN-001,2024-01-01 06:00:00,STRAIN,0.0055,ratio,2024-01-01 06:00:00
TEL-121,SEN-002,2024-01-01 06:00:00,STRAIN,0.004,ratio,2024-01-01 06:00:00
TEL-122,SEN-003,2024-01-01 06:00:00,STRAIN,0.0067,ratio,2024-01-01 06:00:00
TEL-123,SEN-004,2024-01-01 06:00:00,VIBRATION,1.055,mm/s,2024-01-01 06:00:00
TEL-129,SEN-010,2024-01-01 06:00:00,STRAIN,0.0055,ratio,2024-01-01 06:00:00
TEL-125,SEN-006,2024-01-01 06:00:00,PRESSURE,3.0,bar,2024-01-01 06:00:00
TEL-126,SEN-007,2024-01-01 06:00:00,VIBRATION,1.822,mm/s,2024-01-01 06:00:00
TEL-127,SEN-008,2024-01-01 06:00:00,VIBRATION,0.764,mm/s,2024-01-01 06:00:00
TEL-124,SEN-005,2024-01-01 06:00:00,STRAIN,0.0079,ratio,2024-01-01 06:00:00
TEL-150,SEN-011,2024-01-01 07:00:00,VIBRATION,2.206,mm/s,2024-01-01 07:00:00
TEL-158,SEN-019,2024-01-01 07:00:00,VIBRATION,0.686,mm/s,2024-01-01 07:00:00
TEL-157,SEN-018,2024-01-01 07:00:00,TEMPERATURE,21.68,C,2024-01-01 07:00:00
TEL-156,SEN-017,2024-01-01 07:00:00,PRESSURE,3.38,bar,2024-01-01 07:00:00
TEL-155,SEN-016,2024-01-01 07:00:00,PRESSURE,2.66,bar,2024-01-01 07:00:00
TEL-154,SEN-015,2024-01-01 07:00:00,VIBRATION,1.125,mm/s,2024-01-01 07:00:00
TEL-153,SEN-014,2024-01-01 07:00:00,TEMPERATURE,29.97,C,2024-01-01 07:00:00
TEL-152,SEN-013,2024-01-01 07:00:00,STRAIN,0.0045,ratio,2024-01-01 07:00:00
TEL-151,SEN-012,2024-01-01 07:00:00,STRAIN,0.0046,ratio,2024-01-01 07:00:00
TEL-159,SEN-020,2024-01-01 07:00:00,VIBRATION,1.989,mm/s,2024-01-01 07:00:00
TEL-149,SEN-010,2024-01-01 07:00:00,TEMPERATURE,22.48,C,2024-01-01 07:00:00
TEL-147,SEN-008,2024-01-01 07:00:00,PRESSURE,1.95,bar,2024-01-01 07:00:00
TEL-146,SEN-007,2024-01-01 07:00:00,PRESSURE,2.56,bar,2024-01-01 07:00:00
TEL-145,SEN-006,2024-01-01 07:00:00,STRAIN,0.0024,ratio,2024-01-01 07:00:00
TEL-144,SEN-005,2024-01-01 07:00:00,VIBRATION,1.144,mm/s,2024-01-01 07:00:00
TEL-143,SEN-004,2024-01-01 07:00:00,TEMPERATURE,21.84,C,2024-01-01 07:00:00
TEL-142,SEN-003,2024-01-01 07:00:00,TEMPERATURE,37.81,C,2024-01-01 07:00:00
TEL-141,SEN-002,2024-01-01 07:00:00,TEMPERATURE,37.15,C,2024-01-01 07:00:00
TEL-140,SEN-001,2024-01-01 07:00:00,TEMPERATURE,41.18,C,2024-01-01 07:00:00
TEL-148,SEN-009,2024-01-01 07:00:00,PRESSURE,2.13,bar,2024-01-01 07:00:00
TEL-172,SEN-013,2024-01-01 08:00:00,TEMPERATURE,41.13,C,2024-01-01 08:00:00
TEL-173,SEN-014,2024-01-01 08:00:00,VIBRATION,1.718,mm/s,2024-01-01 08:00:00
TEL-174,SEN-015,2024-01-01 08:00:00,PRESSURE,1.07,bar,2024-01-01 08:00:00
TEL-175,SEN-016,2024-01-01 08:00:00,PRESSURE,2.76,bar,2024-01-01 08:00:00
TEL-179,SEN-020,2024-01-01 08:00:00,TEMPERATURE,21.74,C,2024-01-01 08:00:00
TEL-177,SEN-018,2024-01-01 08:00:00,PRESSURE,1.02,bar,2024-01-01 08:00:00
TEL-178,SEN-019,2024-01-01 08:00:00,STRAIN,0.0054,ratio,2024-01-01 08:00:00
TEL-171,SEN-012,2024-01-01 08:00:00,PRESSURE,2.44,bar,2024-01-01 08:00:00
TEL-176,SEN-017,2024-01-01 08:00:00,PRESSURE,3.3,bar,2024-01-01 08:00:00
TEL-170,SEN-011,2024-01-01 08:00:00,PRESSURE,1.29,bar,2024-01-01 08:00:00
TEL-164,SEN-005,2024-01-01 08:00:00,TEMPERATURE,41.7,C,2024-01-01 08:00:00
TEL-168,SEN-009,2024-01-01 08:00:00,TEMPERATURE,25.61,C,2024-01-01 08:00:00
TEL-160,SEN-001,2024-01-01 08:00:00,PRESSURE,3.03,bar,2024-01-01 08:00:00
TEL-161,SEN-002,2024-01-01 08:00:00,VIBRATION,1.673,mm/s,2024-01-01 08:00:00
TEL-162,SEN-003,2024-01-01 08:00:00,PRESSURE,2.68,bar,2024-01-01 08:00:00
TEL-163,SEN-004,2024-01-01 08:00:00,TEMPERATURE,28.84,C,2024-01-01 08:00:00
TEL-169,SEN-010,2024-01-01 08:00:00,VIBRATION,1.2,mm/s,2024-01-01 08:00:00
TEL-165,SEN-006,2024-01-01 08:00:00,VIBRATION,2.437,mm/s,2024-01-01 08:00:00
TEL-166,SEN-007,2024-01-01 08:00:00,PRESSURE,1.88,bar,2024-01-01 08:00:00
TEL-167,SEN-008,2024-01-01 08:00:00,STRAIN,0.0029,ratio,2024-01-01 08:00:00
TEL-199,SEN-020,2024-01-01 09:00:00,STRAIN,0.0066,ratio,2024-01-01 09:00:00
TEL-198,SEN-019,2024-01-01 09:00:00,PRESSURE,3.36,bar,2024-01-01 09:00:00
TEL-197,SEN-018,2024-01-01 09:00:00,VIBRATION,0.515,mm/s,2024-01-01 09:00:00
TEL-196,SEN-017,2024-01-01 09:00:00,TEMPERATURE,44.61,C,2024-01-01 09:00:00
TEL-195,SEN-016,2024-01-01 09:00:00,PRESSURE,1.11,bar,2024-01-01 09:00:00
TEL-194,SEN-015,2024-01-01 09:00:00,TEMPERATURE,33.17,C,2024-01-01 09:00:00
TEL-193,SEN-014,2024-01-01 09:00:00,VIBRATION,1.066,mm/s,2024-01-01 09:00:00
TEL-191,SEN-012,2024-01-01 09:00:00,STRAIN,0.0065,ratio,2024-01-01 09:00:00
TEL-190,SEN-011,2024-01-01 09:00:00,TEMPERATURE,30.35,C,2024-01-01 09:00:00
TEL-192,SEN-013,2024-01-01 09:00:00,VIBRATION,1.19,mm/s,2024-01-01 09:00:00
TEL-188,SEN-009,2024-01-01 09:00:00,PRESSURE,2.11,bar,2024-01-01 09:00:00
TEL-189,SEN-010,2024-01-01 09:00:00,TEMPERATURE,32.14,C,2024-01-01 09:00:00
TEL-181,SEN-002,2024-01-01 09:00:00,STRAIN,0.0043,ratio,2024-01-01 09:00:00
TEL-182,SEN-003,2024-01-01 09:00:00,TEMPERATURE,28.52,C,2024-01-01 09:00:00
TEL-183,SEN-004,2024-01-01 09:00:00,PRESSURE,1.78,bar,2024-01-01 09:00:00
TEL-180,SEN-001,2024-01-01 09:00:00,VIBRATION,0.684,mm/s,2024-01-01 09:00:00
TEL-185,SEN-006,2024-01-01 09:00:00,VIBRATION,2.267,mm/s,2024-01-01 09:00:00
TEL-186,SEN-007,2024-01-01 09:00:00,STRAIN,0.0029,ratio,2024-01-01 09:00:00
TEL-187,SEN-008,2024-01-01 09:00:00,VIBRATION,1.848,mm/s,2024-01-01 09:00:00
TEL-184,SEN-005,2024-01-01 09:00:00,PRESSURE,2.94,bar,2024-01-01 09:00:00
TEL-211,SEN-012,2024-01-01 10:00:00,TEMPERATURE,20.52,C,2024-01-01 10:00:00
TEL-219,SEN-020,2024-01-01 10:00:00,STRAIN,0.0025,ratio,2024-01-01 10:00:00
TEL-218,SEN-019,2024-01-01 10:00:00,PRESSURE,1.55,bar,2024-01-01 10:00:00
TEL-217,SEN-018,2024-01-01 10:00:00,TEMPERATURE,41.76,C,2024-01-01 10:00:00
TEL-216,SEN-017,2024-01-01 10:00:00,TEMPERATURE,33.1,C,2024-01-01 10:00:00
TEL-215,SEN-016,2024-01-01 10:00:00,VIBRATION,0.987,mm/s,2024-01-01 10:00:00
TEL-214,SEN-015,2024-01-01 10:00:00,PRESSURE,1.22,bar,2024-01-01 10:00:00
TEL-212,SEN-013,2024-01-01 10:00:00,PRESSURE,1.43,bar,2024-01-01 10:00:00
TEL-209,SEN-010,2024-01-01 10:00:00,TEMPERATURE,37.74,C,2024-01-01 10:00:00
TEL-213,SEN-014,2024-01-01 10:00:00,TEMPERATURE,40.8,C,2024-01-01 10:00:00
TEL-210,SEN-011,2024-01-01 10:00:00,TEMPERATURE,27.24,C,2024-01-01 10:00:00
TEL-201,SEN-002,2024-01-01 10:00:00,VIBRATION,1.495,mm/s,2024-01-01 10:00:00
TEL-202,SEN-003,2024-01-01 10:00:00,TEMPERATURE,24.39,C,2024-01-01 10:00:00
TEL-203,SEN-004,2024-01-01 10:00:00,TEMPERATURE,33.31,C,2024-01-01 10:00:00
TEL-204,SEN-005,2024-01-01 10:00:00,STRAIN,0.005,ratio,2024-01-01 10:00:00
TEL-200,SEN-001,2024-01-01 10:00:00,PRESSURE,1.82,bar,2024-01-01 10:00:00
TEL-206,SEN-007,2024-01-01 10:00:00,VIBRATION,1.372,mm/s,2024-01-01 10:00:00
TEL-207,SEN-008,2024-01-01 10:00:00,TEMPERATURE,43.03,C,2024-01-01 10:00:00
TEL-205,SEN-006,2024-01-01 10:00:00,PRESSURE,1.18,bar,2024-01-01 10:00:00
TEL-208,SEN-009,2024-01-01 10:00:00,PRESSURE,2.44,bar,2024-01-01 10:00:00
TEL-239,SEN-020,2024-01-01 11:00:00,TEMPERATURE,31.57,C,2024-01-01 11:00:00
TEL-230,SEN-011,2024-01-01 11:00:00,PRESSURE,1.38,bar,2024-01-01 11:00:00
TEL-238,SEN-019,2024-01-01 11:00:00,VIBRATION,1.73,mm/s,2024-01-01 11:00:00
TEL-237,SEN-018,2024-01-01 11:00:00,VIBRATION,1.789,mm/s,2024-01-01 11:00:00
TEL-236,SEN-017,2024-01-01 11:00:00,PRESSURE,3.08,bar,2024-01-01 11:00:00
TEL-235,SEN-016,2024-01-01 11:00:00,TEMPERATURE,20.94,C,2024-01-01 11:00:00
TEL-234,SEN-015,2024-01-01 11:00:00,VIBRATION,1.121,mm/s,2024-01-01 11:00:00
TEL-233,SEN-014,2024-01-01 11:00:00,VIBRATION,1.204,mm/s,2024-01-01 11:00:00
TEL-232,SEN-013,2024-01-01 11:00:00,PRESSURE,2.99,bar,2024-01-01 11:00:00
TEL-231,SEN-012,2024-01-01 11:00:00,VIBRATION,1.438,mm/s,2024-01-01 11:00:00
TEL-229,SEN-010,2024-01-01 11:00:00,PRESSURE,3.16,bar,2024-01-01 11:00:00
TEL-227,SEN-008,2024-01-01 11:00:00,TEMPERATURE,31.6,C,2024-01-01 11:00:00
TEL-226,SEN-007,2024-01-01 11:00:00,VIBRATION,0.854,mm/s,2024-01-01 11:00:00
TEL-225,SEN-006,2024-01-01 11:00:00,STRAIN,0.0056,ratio,2024-01-01 11:00:00
TEL-224,SEN-005,2024-01-01 11:00:00,STRAIN,0.0035,ratio,2024-01-01 11:00:00
TEL-223,SEN-004,2024-01-01 11:00:00,STRAIN,0.0034,ratio,2024-01-01 11:00:00
TEL-222,SEN-003,2024-01-01 11:00:00,PRESSURE,1.88,bar,2024-01-01 11:00:00
TEL-221,SEN-002,2024-01-01 11:00:00,STRAIN,0.0074,ratio,2024-01-01 11:00:00
TEL-220,SEN-001,2024-01-01 11:00:00,VIBRATION,1.561,mm/s,2024-01-01 11:00:00
TEL-228,SEN-009,2024-01-01 11:00:00,TEMPERATURE,37.03,C,2024-01-01 11:00:00
TEL-251,SEN-012,2024-01-01 12:00:00,VIBRATION,2.078,mm/s,2024-01-01 12:00:00
TEL-252,SEN-013,2024-01-01 12:00:00,PRESSURE,1.16,bar,2024-01-01 12:00:00
TEL-253,SEN-014,2024-01-01 12:00:00,VIBRATION,1.616,mm/s,2024-01-01 12:00:00
TEL-254,SEN-015,2024-01-01 12:00:00,TEMPERATURE,27.1,C,2024-01-01 12:00:00
TEL-258,SEN-019,2024-01-01 12:00:00,TEMPERATURE,23.22,C,2024-01-01 12:00:00
TEL-256,SEN-017,2024-01-01 12:00:00,STRAIN,0.0075,ratio,2024-01-01 12:00:00
TEL-257,SEN-018,2024-01-01 12:00:00,PRESSURE,3.42,bar,2024-01-01 12:00:00
TEL-259,SEN-020,2024-01-01 12:00:00,VIBRATION,1.119,mm/s,2024-01-01 12:00:00
TEL-255,SEN-016,2024-01-01 12:00:00,STRAIN,0.004,ratio,2024-01-01 12:00:00
TEL-250,SEN-011,2024-01-01 12:00:00,PRESSURE,2.7,bar,2024-01-01 12:00:00
TEL-249,SEN-010,2024-01-01 12:00:00,PRESSURE,1.97,bar,2024-01-01 12:00:00
TEL-247,SEN-008,2024-01-01 12:00:00,TEMPERATURE,44.77,C,2024-01-01 12:00:00
TEL-240,SEN-001,2024-01-01 12:00:00,VIBRATION,1.399,mm/s,2024-01-01 12:00:00
TEL-241,SEN-002,2024-01-01 12:00:00,STRAIN,0.0039,ratio,2024-01-01 12:00:00
TEL-242,SEN-003,2024-01-01 12:00:00,TEMPERATURE,32.53,C,2024-01-01 12:00:00
TEL-248,SEN-009,2024-01-01 12:00:00,STRAIN,0.0042,ratio,2024-01-01 12:00:00
TEL-244,SEN-005,2024-01-01 12:00:00,PRESSURE,3.46,bar,2024-01-01 12:00:00
TEL-245,SEN-006,2024-01-01 12:00:00,VIBRATION,1.509,mm/s,2024-01-01 12:00:00
TEL-246,SEN-007,2024-01-01 12:00:00,STRAIN,0.0022,ratio,2024-01-01 12:00:00
TEL-243,SEN-004,2024-01-01 12:00:00,VIBRATION,1.401,mm/s,2024-01-01 12:00:00
TEL-279,SEN-020,2024-01-01 13:00:00,STRAIN,0.0039,ratio,2024-01-01 13:00:00
TEL-278,SEN-019,2024-01-01 13:00:00,TEMPERATURE,25.85,C,2024-01-01 13:00:00
TEL-277,SEN-018,2024-01-01 13:00:00,PRESSURE,2.88,bar,2024-01-01 13:00:00
