failureId,structureId,failureType,severity,occurredAt,resolvedAt,cause
F-027,STR-009,FATIGUE,CRITICAL,2024-03-04 10:00:00,2024-03-05 01:00:00,THERMAL_STRESS due to environmental stress
F-077,STR-016,CORROSION,HIGH,2024-03-04 10:00:00,2024-03-06 11:00:00,CORROSION due to environmental stress
F-017,STR-006,CORROSION,LOW,2024-03-05 07:00:00,2024-03-05 22:00:00,FATIGUE due to environmental stress
F-069,STR-015,OVERLOAD,CRITICAL,2024-03-05 13:00:00,2024-03-06 02:00:00,CORROSION due to environmental stress
F-013,STR-005,FATIGUE,LOW,2024-03-06 13:00:00,2024-03-07 19:00:00,CORROSION due to environmental stress
F-064,STR-015,OVERLOAD,HIGH,2024-03-06 14:00:00,2024-03-08 05:00:00,THERMAL_STRESS due to environmental stress
F-120,STR-020,LEAK,MEDIUM,2024-03-06 16:00:00,2024-03-09 06:00:00,THERMAL_STRESS due to environmental stress
F-006,STR-003,OVERLOAD,CRITICAL,2024-03-08 02:00:00,2024-03-09 00:00:00,THERMAL_STRESS due to environmental stress
F-034,STR-010,FATIGUE,CRITICAL,2024-03-08 08:00:00,2024-03-08 20:00:00,LEAK due to environmental stress
F-094,STR-017,CORROSION,CRITICAL,2024-03-08 17:00:00,2024-03-10 05:00:00,CORROSION due to environmental stress
F-065,STR-015,LEAK,CRITICAL,2024-03-08 20:00:00,2024-03-10 08:00:00,FATIGUE due to environmental stress
F-091,STR-017,CORROSION,MEDIUM,2024-03-09 10:00:00,2024-03-10 15:00:00,LEAK due to environmental stress
F-060,STR-014,OVERLOAD,LOW,2024-03-09 12:00:00,2024-03-11 01:00:00,FATIGUE due to environmental stress
F-003,STR-001,OVERLOAD,HIGH,2024-03-10 19:00:00,2024-03-12 02:00:00,OVERLOAD due to environmental stress
F-023,STR-008,FATIGUE,LOW,2024-03-11 02:00:00,2024-03-12 07:00:00,OVERLOAD due to environmental stress
F-057,STR-013,FATIGUE,MEDIUM,2024-03-11 21:00:00,2024-03-13 21:00:00,LEAK due to environmental stress
F-050,STR-012,LEAK,CRITICAL,2024-03-12 17:00:00,2024-03-14 00:00:00,FATIGUE due to environmental stress
F-016,STR-006,CORROSION,MEDIUM,2024-03-14 14:00:00,2024-03-15 13:00:00,LEAK due to environmental stress
F-117,STR-019,FATIGUE,LOW,2024-03-15 15:00:00,2024-03-18 05:00:00,CORROSION due to environmental stress
F-072,STR-015,CORROSION,MEDIUM,2024-03-15 19:00:00,2024-03-17 05:00:00,LEAK due to environmental stress
F-054,STR-013,LEAK,MEDIUM,2024-03-16 00:00:00,2024-03-17 20:00:00,CORROSION due to environmental stress
F-102,STR-018,CORROSION,LOW,2024-03-16 09:00:00,2024-03-17 07:00:00,FATIGUE due to environmental stress
F-097,STR-017,CORROSION,HIGH,2024-03-16 10:00:00,2024-03-18 13:00:00,LEAK due to environmental stress
F-062,STR-014,CORROSION,MEDIUM,2024-03-17 07:00:00,2024-03-18 04:00:00,CORROSION due to environmental stress
F-107,STR-018,THERMAL_STRESS,CRITICAL,2024-03-17 13:00:00,2024-03-18 23:00:00,CORROSION due to environmental stress
F-028,STR-009,THERMAL_STRESS,MEDIUM,2024-03-18 03:00:00,2024-03-18 18:00:00,THERMAL_STRESS due to environmental stress
F-049,STR-012,FATIGUE,CRITICAL,2024-03-19 06:00:00,2024-03-20 20:00:00,FATIGUE due to environmental stress
F-103,STR-018,CORROSION,CRITICAL,2024-03-19 09:00:00,2024-03-22 03:00:00,LEAK due to environmental stress
F-083,STR-016,THERMAL_STRESS,CRITICAL,2024-03-20 00:00:00,2024-03-21 21:00:00,CORROSION due to environmental stress
F-038,STR-010,CORROSION,MEDIUM,2024-03-20 17:00:00,2024-03-21 17:00:00,FATIGUE due to environmental stress
F-055,STR-013,CORROSION,CRITICAL,2024-03-20 19:00:00,2024-03-22 18:00:00,CORROSION due to environmental stress
F-070,STR-015,THERMAL_STRESS,CRITICAL,2024-03-20 22:00:00,2024-03-21 06:00:00,CORROSION due to environmental stress
F-119,STR-020,THERMAL_STRESS,LOW,2024-03-21 00:00:00,2024-03-22 16:00:00,OVERLOAD due to environmental stress
F-075,STR-015,FATIGUE,CRITICAL,2024-03-21 18:00:00,2024-03-22 03:00:00,OVERLOAD due to environmental stress
F-004,STR-002,FATIGUE,LOW,2024-03-22 10:00:00,2024-03-25 06:00:00,LEAK due to environmental stress
F-118,STR-020,FATIGUE,MEDIUM,2024-03-23 08:00:00,2024-03-23 17:00:00,THERMAL_STRESS due to environmental stress
F-059,STR-014,CORROSION,MEDIUM,2024-03-24 02:00:00,2024-03-26 18:00:00,CORROSION due to environmental stress
